"무등동물병원",
"정동물병원",
"전남낙협동물병원","전라남도 나주시 산포면 송림산제길 170","0613368166",
"도그플러스동물병원","경상남도 창원시 마산회원구 삼호로 56 (양덕동, 홈플러스마산점 6층)","055-251-8800",
"길동물병원","경상남도 창원시 성산구 삼정자로43번길 8 (성주동)","055-274-0075",
"경일 동물병원","경상남도 창원시 마산회원구 북성로 347 (회성동)","055-297-1919",
"마리동물병원","경상남도 창원시 마산회원구 내서읍 삼계6길 12, 201호","055-232-2642",
"짱동물병원","","055-275-7005",
"동인종합동물병원","경상남도 창원시 진해구 안골로 308 (안골동)","055-552-7980",
"한일종합동물병원","경상남도 창원시 마산회원구 양덕로 170 (양덕동)","055-255-7585",
"서울동물병원","경상남도 창원시 성산구 가음로13번길 33, 108호 (남양동, 남양종합상가)","055-274-1400",
"이든 동물메디컬","경상남도 창원시 성산구 마디미서로 46 (상남동)",
"삼진가축병원","경상남도 창원시 마산합포구 진동면 삼진의거대로 634-71","055-271-2050",
"창원중앙가축병원","경상남도 창원시 의창구 천주로 30 (서상동)",
"새마산동물병원","경상남도 창원시 마산합포구 북성로 89 (상남동)","055-246-1749",
"박수의과동물병원","경상남도 창원시 마산회원구 회성남10길 3 (회성동)","055-256-2478",
"창생동물병원","경상남도 창원시 마산회원구 3·15대로 593 (석전동)","055-299-0075",
"고려동물병원","경상남도 창원시 의창구 지귀로 16 (봉곡동)","055-238-6520",
"산호동물병원","경상남도 창원시 마산합포구 삼호로 55 (산호동)","055-247-7202",
"부산동물병원","경상남도 창원시 마산합포구 3·15대로 437 (상남동)","055-243-8104",
"창원동물병원","경상남도 창원시 의창구 원이대로 277 (봉곡동)","055-238-5457",
"진해동물병원","경상남도 창원시 진해구 해원로 5 (이동)","543-1123",
"마산가축병원","경상남도 창원시 마산회원구 회성남5길 3 (회성동)","055-255-5459",
"이화동물병원","경상남도 창원시 마산합포구 3·15대로 424 (상남동)","055-245-8499",
"신마산동물병원","경상남도 창원시 마산합포구 3·15대로 26 (월남동4가)","055-246-9989",
"정다운동물병원","경상남도 창원시 성산구 비음로4번길 38 (사파동)","055-262-8275",
"현대동물병원","경상남도 창원시 마산합포구 해안대로 25 (해운동)","055-224-2214",
"상아 동물메디컬","경상남도 창원시 의창구 태복산로3번길 39 (도계동)","055-277-7161",
"회원종합동물병원","경상남도 창원시 마산회원구 회원남1길 49 (회원동)","055-247-4819",
"대방동물병원","경상남도 창원시 성산구 중앙대로83번길 14 (중앙동,창원종합상가1층2호)","055-275-0076",
"강애동물병원","경상남도 창원시 성산구 안민안길 20, 2층 204호 (안민동, 한솔프라자)","055-262-5152",
"O.K 동물병원","경상남도 창원시 진해구 충장로 143-1 (여좌동)","546-7588",
"서울동물병원","경상남도 창원시 성산구 가음로13번길 33, 108호 (남양동, 남양종합상가)","055-274-1400",
"이든 동물메디컬","경상남도 창원시 성산구 마디미서로 46 (상남동)",
"삼진가축병원","경상남도 창원시 마산합포구 진동면 삼진의거대로 634-71","055-271-2050",
"창원중앙가축병원","경상남도 창원시 의창구 천주로 30 (서상동)",
"새마산동물병원","경상남도 창원시 마산합포구 북성로 89 (상남동)","055-246-1749",
"박수의과동물병원","경상남도 창원시 마산회원구 회성남10길 3 (회성동)","055-256-2478",
"창생동물병원","경상남도 창원시 마산회원구 3·15대로 593 (석전동)","055-299-0075",
"고려동물병원","경상남도 창원시 의창구 지귀로 16 (봉곡동)","055-238-6520",
"산호동물병원","경상남도 창원시 마산합포구 삼호로 55 (산호동)","055-247-7202",
"부산동물병원","경상남도 창원시 마산합포구 3·15대로 437 (상남동)","055-243-8104",
"창원동물병원","경상남도 창원시 의창구 원이대로 277 (봉곡동)","055-238-5457",
"진해동물병원","경상남도 창원시 진해구 해원로 5 (이동)","543-1123",
"마산가축병원","경상남도 창원시 마산회원구 회성남5길 3 (회성동)","055-255-5459",
"이화동물병원","경상남도 창원시 마산합포구 3·15대로 424 (상남동)","055-245-8499",
"신마산동물병원","경상남도 창원시 마산합포구 3·15대로 26 (월남동4가)","055-246-9989",
"정다운동물병원","경상남도 창원시 성산구 비음로4번길 38 (사파동)","055-262-8275",
"현대동물병원","경상남도 창원시 마산합포구 해안대로 25 (해운동)","055-224-2214",
"상아 동물메디컬","경상남도 창원시 의창구 태복산로3번길 39 (도계동)","055-277-7161",
"회원종합동물병원","경상남도 창원시 마산회원구 회원남1길 49 (회원동)","055-247-4819",
"대방동물병원","경상남도 창원시 성산구 중앙대로83번길 14 (중앙동,창원종합상가1층2호)","055-275-0076",
"강애동물병원","경상남도 창원시 성산구 안민안길 20, 2층 204호 (안민동, 한솔프라자)","055-262-5152",
"O.K 동물병원","경상남도 창원시 진해구 충장로 143-1 (여좌동)","546-7588",
"낙동가축병원","경상남도 양산시 물금읍 오봉로 15, 상가동 205호","384-6585",
"가온동물병원","경상남도 양산시 물금읍 백호로 96, 201호 (미소프라자)","055-387-8256",
"연합축산(주)","경상남도 양산시 북안남2길 26 (북부동)","387-8805",
"부산경남우유협동조합동물병원","","383-5883",
"웅상동물병원","","366-0300",
"보계동물병원","","374-0488",
"통도동물병원","","383-7873",
"양산 동물 메디컬센터","경상남도 양산시 삽량로 175 (중부동)","365-7582",
"산호동물병원","경상남도 창원시 마산합포구 삼호로 55 (산호동)","055-247-7202",
"부산동물병원","경상남도 창원시 마산합포구 3·15대로 437 (상남동)","055-243-8104",
"창원동물병원","경상남도 창원시 의창구 원이대로 277 (봉곡동)","055-238-5457",
"진해동물병원","경상남도 창원시 진해구 해원로 5 (이동)","543-1123",
"마산가축병원","경상남도 창원시 마산회원구 회성남5길 3 (회성동)","055-255-5459",
"이화동물병원","경상남도 창원시 마산합포구 3·15대로 424 (상남동)","055-245-8499",
"신마산동물병원","경상남도 창원시 마산합포구 3·15대로 26 (월남동4가)","055-246-9989",
"정다운동물병원","경상남도 창원시 성산구 비음로4번길 38 (사파동)","055-262-8275",
"현대동물병원","경상남도 창원시 마산합포구 해안대로 25 (해운동)","055-224-2214",
"상아 동물메디컬","경상남도 창원시 의창구 태복산로3번길 39 (도계동)","055-277-7161",
"회원종합동물병원","경상남도 창원시 마산회원구 회원남1길 49 (회원동)","055-247-4819",
"대방동물병원","경상남도 창원시 성산구 중앙대로83번길 14 (중앙동,창원종합상가1층2호)","055-275-0076",
"강애동물병원","경상남도 창원시 성산구 안민안길 20, 2층 204호 (안민동, 한솔프라자)","055-262-5152",
"O.K 동물병원","경상남도 창원시 진해구 충장로 143-1 (여좌동)","546-7588",
"낙동가축병원","경상남도 양산시 물금읍 오봉로 15, 상가동 205호","384-6585",
"가온동물병원","경상남도 양산시 물금읍 백호로 96, 201호 (미소프라자)","055-387-8256",
"연합축산(주)","경상남도 양산시 북안남2길 26 (북부동)","387-8805",
"부산경남우유협동조합동물병원","","383-5883",
"웅상동물병원","","366-0300",
"보계동물병원","","374-0488",
"통도동물병원","","383-7873",
"양산 동물 메디컬센터","경상남도 양산시 삽량로 175 (중부동)","365-7582",
"웅상프랜드 동물병원","","364-7585",
"송&이 동물병원","","055-363-5004",
"영남동물병원","경상남도 양산시 상북면 반회서3길 18","055-375-9933",
"힘참동물병원","","055-388-7975",
"친친 동물병원","","055-366-9777",
"조재환 동물병원","경상북도 예천군 예천읍 중앙로 72","654-0606",
"서울가축병원","경상북도 예천군 예천읍 시장로 86",
"손 동물병원","경상북도 예천군 풍양면 낙상1길 82",
"현대동물병원","경상남도 창원시 마산합포구 해안대로 25 (해운동)","055-224-2214",
"상아 동물메디컬","경상남도 창원시 의창구 태복산로3번길 39 (도계동)","055-277-7161",
"회원종합동물병원","경상남도 창원시 마산회원구 회원남1길 49 (회원동)","055-247-4819",
"대방동물병원","경상남도 창원시 성산구 중앙대로83번길 14 (중앙동,창원종합상가1층2호)","055-275-0076",
"강애동물병원","경상남도 창원시 성산구 안민안길 20, 2층 204호 (안민동, 한솔프라자)","055-262-5152",
"O.K 동물병원","경상남도 창원시 진해구 충장로 143-1 (여좌동)","546-7588",
"낙동가축병원","경상남도 양산시 물금읍 오봉로 15, 상가동 205호","384-6585",
"가온동물병원","경상남도 양산시 물금읍 백호로 96, 201호 (미소프라자)","055-387-8256",
"연합축산(주)","경상남도 양산시 북안남2길 26 (북부동)","387-8805",
"부산경남우유협동조합동물병원","","383-5883",
"웅상동물병원","","366-0300",
"보계동물병원","","374-0488",
"통도동물병원","","383-7873",
"양산 동물 메디컬센터","경상남도 양산시 삽량로 175 (중부동)","365-7582",
"웅상프랜드 동물병원","","364-7585",
"송&이 동물병원","","055-363-5004",
"영남동물병원","경상남도 양산시 상북면 반회서3길 18","055-375-9933",
"힘참동물병원","","055-388-7975",
"친친 동물병원","","055-366-9777",
"조재환 동물병원","경상북도 예천군 예천읍 중앙로 72","654-0606",
"서울가축병원","경상북도 예천군 예천읍 시장로 86",
"손 동물병원","경상북도 예천군 풍양면 낙상1길 82",
"대관령 가축병원","경상북도 예천군 예천읍 시장로 81",
"예천축협 동물병원","경상북도 예천군 예천읍 구남골길 9","054-654-3371~2",
"대심동물병원","경상북도 예천군 예천읍 효자로 1","054-655-8290",
"다호문가축병원","제주특별자치도 제주시 한림읍 한림남2길 17-2","796-2050",
"이의종동물병원","제주특별자치도 제주시 한림읍 한림로12길 19","799-3022",
"현흥가축병원","제주특별자치도 제주시 구좌읍 세평항로 12","783-1662",
"한라동물종합병원","제주특별자치도 제주시 고마로 37 (일도이동)","753-0880",
"평화","제주특별자치도 제주시 신대로14길 25 (연동, 연동 한양아트빌)","747-7728",
"연합축산(주)","경상남도 양산시 북안남2길 26 (북부동)","387-8805",
"부산경남우유협동조합동물병원","","383-5883",
"웅상동물병원","","366-0300",
"보계동물병원","","374-0488",
"통도동물병원","","383-7873",
"양산 동물 메디컬센터","경상남도 양산시 삽량로 175 (중부동)","365-7582",
"웅상프랜드 동물병원","","364-7585",
"송&이 동물병원","","055-363-5004",
"영남동물병원","경상남도 양산시 상북면 반회서3길 18","055-375-9933",
"힘참동물병원","","055-388-7975",
"친친 동물병원","","055-366-9777",
"조재환 동물병원","경상북도 예천군 예천읍 중앙로 72","654-0606",
"서울가축병원","경상북도 예천군 예천읍 시장로 86",
"손 동물병원","경상북도 예천군 풍양면 낙상1길 82",
"대관령 가축병원","경상북도 예천군 예천읍 시장로 81",
"예천축협 동물병원","경상북도 예천군 예천읍 구남골길 9","054-654-3371~2",
"대심동물병원","경상북도 예천군 예천읍 효자로 1","054-655-8290",
"다호문가축병원","제주특별자치도 제주시 한림읍 한림남2길 17-2","796-2050",
"이의종동물병원","제주특별자치도 제주시 한림읍 한림로12길 19","799-3022",
"현흥가축병원","제주특별자치도 제주시 구좌읍 세평항로 12","783-1662",
"한라동물종합병원","제주특별자치도 제주시 고마로 37 (일도이동)","753-0880",
"평화","제주특별자치도 제주시 신대로14길 25 (연동, 연동 한양아트빌)","747-7728",
"동심동물병원","제주특별자치도 제주시 노연로 141 (연동)","744-1030",
"푸른동물병원","제주특별자치도 제주시 서광로 293 (이도일동, 태안빌딩)","758-8013",
"제주수산동물병원","제주특별자치도 제주시 탑동로 25 (삼도이동)","756-2525",
"제주대학교 수의과대학 부설동물병원","제주특별자치도 제주시 제주대학로 102 (아라일동)","754-3381",
"신제주동물병원","제주특별자치도 제주시 과원북4길 7 (노형동)","744-2992",
"이소영동물병원","제주특별자치도 제주시 연삼로 518 (일도이동)","722-3375",
"KRA 렛츠런파크제주 동물병원","제주특별자치도 제주시 애월읍 평화로 2144","786-8341",
"다나동물병원","제주특별자치도 제주시 동광로 119 (일도이동)","064)757-7577",
"영남동물병원","경상남도 양산시 상북면 반회서3길 18","055-375-9933",
"힘참동물병원","","055-388-7975",
"친친 동물병원","","055-366-9777",
"조재환 동물병원","경상북도 예천군 예천읍 중앙로 72","654-0606",
"서울가축병원","경상북도 예천군 예천읍 시장로 86",
"손 동물병원","경상북도 예천군 풍양면 낙상1길 82",
"대관령 가축병원","경상북도 예천군 예천읍 시장로 81",
"예천축협 동물병원","경상북도 예천군 예천읍 구남골길 9","054-654-3371~2",
"대심동물병원","경상북도 예천군 예천읍 효자로 1","054-655-8290",
"다호문가축병원","제주특별자치도 제주시 한림읍 한림남2길 17-2","796-2050",
"이의종동물병원","제주특별자치도 제주시 한림읍 한림로12길 19","799-3022",
"현흥가축병원","제주특별자치도 제주시 구좌읍 세평항로 12","783-1662",
"한라동물종합병원","제주특별자치도 제주시 고마로 37 (일도이동)","753-0880",
"평화","제주특별자치도 제주시 신대로14길 25 (연동, 연동 한양아트빌)","747-7728",
"동심동물병원","제주특별자치도 제주시 노연로 141 (연동)","744-1030",
"푸른동물병원","제주특별자치도 제주시 서광로 293 (이도일동, 태안빌딩)","758-8013",
"제주수산동물병원","제주특별자치도 제주시 탑동로 25 (삼도이동)","756-2525",
"제주대학교 수의과대학 부설동물병원","제주특별자치도 제주시 제주대학로 102 (아라일동)","754-3381",
"신제주동물병원","제주특별자치도 제주시 과원북4길 7 (노형동)","744-2992",
"이소영동물병원","제주특별자치도 제주시 연삼로 518 (일도이동)","722-3375",
"KRA 렛츠런파크제주 동물병원","제주특별자치도 제주시 애월읍 평화로 2144","786-8341",
"다나동물병원","제주특별자치도 제주시 동광로 119 (일도이동)","064)757-7577",
"행복한동물병원","제주특별자치도 제주시 조천읍 신북로 353-4","742-7425",
"가족동물병원","제주특별자치도 제주시 중앙로 189 (이도일동)","702-7275",
"한국마사회 제주육성목장 동물병원","제주특별자치도 제주시 조천읍 남조로 1660 (한국마사회 제주육성목장)","780-0141",
"해밀동물병원","제주특별자치도 제주시 연신로 85 (이도이동)","744-7582",
"남문동물병원","제주특별자치도 제주시 중앙로 114-1 (삼도이동)","758-4070",
"강남동물병원","제주특별자치도 제주시 중앙로 106 (삼도이동)","723-2005",
"송동물병원","제주특별자치도 제주시 일주동로 185 (화북일동)","064)759-8275",
"제주말전문병원","제주특별자치도 제주시 한림읍 광산로 782-79","796-2114",
"대심동물병원","경상북도 예천군 예천읍 효자로 1","054-655-8290",
"다호문가축병원","제주특별자치도 제주시 한림읍 한림남2길 17-2","796-2050",
"이의종동물병원","제주특별자치도 제주시 한림읍 한림로12길 19","799-3022",
"현흥가축병원","제주특별자치도 제주시 구좌읍 세평항로 12","783-1662",
"한라동물종합병원","제주특별자치도 제주시 고마로 37 (일도이동)","753-0880",
"평화","제주특별자치도 제주시 신대로14길 25 (연동, 연동 한양아트빌)","747-7728",
"동심동물병원","제주특별자치도 제주시 노연로 141 (연동)","744-1030",
"푸른동물병원","제주특별자치도 제주시 서광로 293 (이도일동, 태안빌딩)","758-8013",
"제주수산동물병원","제주특별자치도 제주시 탑동로 25 (삼도이동)","756-2525",
"제주대학교 수의과대학 부설동물병원","제주특별자치도 제주시 제주대학로 102 (아라일동)","754-3381",
"신제주동물병원","제주특별자치도 제주시 과원북4길 7 (노형동)","744-2992",
"이소영동물병원","제주특별자치도 제주시 연삼로 518 (일도이동)","722-3375",
"KRA 렛츠런파크제주 동물병원","제주특별자치도 제주시 애월읍 평화로 2144","786-8341",
"다나동물병원","제주특별자치도 제주시 동광로 119 (일도이동)","064)757-7577",
"행복한동물병원","제주특별자치도 제주시 조천읍 신북로 353-4","742-7425",
"가족동물병원","제주특별자치도 제주시 중앙로 189 (이도일동)","702-7275",
"한국마사회 제주육성목장 동물병원","제주특별자치도 제주시 조천읍 남조로 1660 (한국마사회 제주육성목장)","780-0141",
"해밀동물병원","제주특별자치도 제주시 연신로 85 (이도이동)","744-7582",
"남문동물병원","제주특별자치도 제주시 중앙로 114-1 (삼도이동)","758-4070",
"강남동물병원","제주특별자치도 제주시 중앙로 106 (삼도이동)","723-2005",
"송동물병원","제주특별자치도 제주시 일주동로 185 (화북일동)","064)759-8275",
"제주말전문병원","제주특별자치도 제주시 한림읍 광산로 782-79","796-2114",
"꿈동물병원","제주특별자치도 제주시 월광로 32 (노형동)","744-1128",
"우리동물병원(산업)","제주특별자치도 제주시 한림읍 산록남로 53 (성이시돌피정의집)","743-7585",
"탐라종합동물병원","제주특별자치도 제주시 조천읍 함덕8길 35-8","721-0903",
"중앙동물병원","제주특별자치도 제주시 성신로 15 (연동)","749-7582",
"영인동물병원","","724-7582",
"제주동물병원 연동점","제주특별자치도 제주시 국기중길 14 (연동)","713-7589",
"샘동물병원","제주특별자치도 제주시 애월읍 봉성로3길 14","721-2707/01036935766",
"해맑은동물병원","","742-1868",
"제주수산동물병원","제주특별자치도 제주시 탑동로 25 (삼도이동)","756-2525",
"제주대학교 수의과대학 부설동물병원","제주특별자치도 제주시 제주대학로 102 (아라일동)","754-3381",
"신제주동물병원","제주특별자치도 제주시 과원북4길 7 (노형동)","744-2992",
"이소영동물병원","제주특별자치도 제주시 연삼로 518 (일도이동)","722-3375",
"KRA 렛츠런파크제주 동물병원","제주특별자치도 제주시 애월읍 평화로 2144","786-8341",
"다나동물병원","제주특별자치도 제주시 동광로 119 (일도이동)","064)757-7577",
"행복한동물병원","제주특별자치도 제주시 조천읍 신북로 353-4","742-7425",
"가족동물병원","제주특별자치도 제주시 중앙로 189 (이도일동)","702-7275",
"한국마사회 제주육성목장 동물병원","제주특별자치도 제주시 조천읍 남조로 1660 (한국마사회 제주육성목장)","780-0141",
"해밀동물병원","제주특별자치도 제주시 연신로 85 (이도이동)","744-7582",
"남문동물병원","제주특별자치도 제주시 중앙로 114-1 (삼도이동)","758-4070",
"강남동물병원","제주특별자치도 제주시 중앙로 106 (삼도이동)","723-2005",
"송동물병원","제주특별자치도 제주시 일주동로 185 (화북일동)","064)759-8275",
"제주말전문병원","제주특별자치도 제주시 한림읍 광산로 782-79","796-2114",
"꿈동물병원","제주특별자치도 제주시 월광로 32 (노형동)","744-1128",
"우리동물병원(산업)","제주특별자치도 제주시 한림읍 산록남로 53 (성이시돌피정의집)","743-7585",
"탐라종합동물병원","제주특별자치도 제주시 조천읍 함덕8길 35-8","721-0903",
"중앙동물병원","제주특별자치도 제주시 성신로 15 (연동)","749-7582",
"영인동물병원","","724-7582",
"제주동물병원 연동점","제주특별자치도 제주시 국기중길 14 (연동)","713-7589",
"샘동물병원","제주특별자치도 제주시 애월읍 봉성로3길 14","721-2707/01036935766",
"해맑은동물병원","","742-1868",
"제주축산업협동조합 동물병원","제주특별자치도 제주시 동문로 41 (일도일동)","756-4204",
"24시동물병원","제주특별자치도 제주시 연삼로 353 (도남동)","702-2475",
"교래 말 전문병원","제주특별자치도 제주시 구좌읍 세화경마루길 14-14",
"제일동물병원","제주특별자치도 제주시 한림읍 금악로 25","796-7111",
"희망동물병원","제주특별자치도 제주시 애월읍 봉성로3길 14",
"한국금호동물병원","제주특별자치도 제주시 구좌읍 해맞이해안로 1076-1",
"한서동물병원","제주특별자치도 제주시 아봉로 759 (봉개동)","784-0657",
"서사라동물병원","제주특별자치도 제주시 서사로 148-1 (삼도일동)","702-1275",
"한국마사회 제주육성목장 동물병원","제주특별자치도 제주시 조천읍 남조로 1660 (한국마사회 제주육성목장)","780-0141",
"해밀동물병원","제주특별자치도 제주시 연신로 85 (이도이동)","744-7582",
"남문동물병원","제주특별자치도 제주시 중앙로 114-1 (삼도이동)","758-4070",
"강남동물병원","제주특별자치도 제주시 중앙로 106 (삼도이동)","723-2005",
"송동물병원","제주특별자치도 제주시 일주동로 185 (화북일동)","064)759-8275",
"제주말전문병원","제주특별자치도 제주시 한림읍 광산로 782-79","796-2114",
"꿈동물병원","제주특별자치도 제주시 월광로 32 (노형동)","744-1128",
"우리동물병원(산업)","제주특별자치도 제주시 한림읍 산록남로 53 (성이시돌피정의집)","743-7585",
"탐라종합동물병원","제주특별자치도 제주시 조천읍 함덕8길 35-8","721-0903",
"중앙동물병원","제주특별자치도 제주시 성신로 15 (연동)","749-7582",
"영인동물병원","","724-7582",
"제주동물병원 연동점","제주특별자치도 제주시 국기중길 14 (연동)","713-7589",
"샘동물병원","제주특별자치도 제주시 애월읍 봉성로3길 14","721-2707/01036935766",
"해맑은동물병원","","742-1868",
"제주축산업협동조합 동물병원","제주특별자치도 제주시 동문로 41 (일도일동)","756-4204",
"24시동물병원","제주특별자치도 제주시 연삼로 353 (도남동)","702-2475",
"교래 말 전문병원","제주특별자치도 제주시 구좌읍 세화경마루길 14-14",
"제일동물병원","제주특별자치도 제주시 한림읍 금악로 25","796-7111",
"희망동물병원","제주특별자치도 제주시 애월읍 봉성로3길 14",
"한국금호동물병원","제주특별자치도 제주시 구좌읍 해맞이해안로 1076-1",
"한서동물병원","제주특별자치도 제주시 아봉로 759 (봉개동)","784-0657",
"서사라동물병원","제주특별자치도 제주시 서사로 148-1 (삼도일동)","702-1275",
"이호동물병원","제주특별자치도 제주시 한림읍 금악북로 257",
"제주피그클리닉","제주특별자치도 제주시 한림읍 한림로 580",
"유성동물병원","제주특별자치도 제주시 한림읍 한림중앙로 212","796-4451",
"태흥동물병원","제주특별자치도 제주시 연북로 681 (이도이동)","722-3440",
"서진동물병원","제주특별자치도 제주시 애월읍 상가목장길 84",
"한수풀동물병원","제주특별자치도 제주시 한림읍 한림로 655","064-796-4451",
"서원동물병원","제주특별자치도 제주시 일주동로 38 (화북이동)",
"웰빙축산병원","제주특별자치도 제주시 애월읍 상귀서길 22","742-9947",
"탐라종합동물병원","제주특별자치도 제주시 조천읍 함덕8길 35-8","721-0903",
"중앙동물병원","제주특별자치도 제주시 성신로 15 (연동)","749-7582",
"영인동물병원","","724-7582",
"제주동물병원 연동점","제주특별자치도 제주시 국기중길 14 (연동)","713-7589",
"샘동물병원","제주특별자치도 제주시 애월읍 봉성로3길 14","721-2707/01036935766",
"해맑은동물병원","","742-1868",
"제주축산업협동조합 동물병원","제주특별자치도 제주시 동문로 41 (일도일동)","756-4204",
"24시동물병원","제주특별자치도 제주시 연삼로 353 (도남동)","702-2475",
"교래 말 전문병원","제주특별자치도 제주시 구좌읍 세화경마루길 14-14",
"제일동물병원","제주특별자치도 제주시 한림읍 금악로 25","796-7111",
"희망동물병원","제주특별자치도 제주시 애월읍 봉성로3길 14",
"한국금호동물병원","제주특별자치도 제주시 구좌읍 해맞이해안로 1076-1",
"한서동물병원","제주특별자치도 제주시 아봉로 759 (봉개동)","784-0657",
"서사라동물병원","제주특별자치도 제주시 서사로 148-1 (삼도일동)","702-1275",
"이호동물병원","제주특별자치도 제주시 한림읍 금악북로 257",
"제주피그클리닉","제주특별자치도 제주시 한림읍 한림로 580",
"유성동물병원","제주특별자치도 제주시 한림읍 한림중앙로 212","796-4451",
"태흥동물병원","제주특별자치도 제주시 연북로 681 (이도이동)","722-3440",
"서진동물병원","제주특별자치도 제주시 애월읍 상가목장길 84",
"한수풀동물병원","제주특별자치도 제주시 한림읍 한림로 655","064-796-4451",
"서원동물병원","제주특별자치도 제주시 일주동로 38 (화북이동)",
"웰빙축산병원","제주특별자치도 제주시 애월읍 상귀서길 22","742-9947",
"동물병원 퍼피하우스","제주특별자치도 제주시 용담로17길 12 (용담일동)","721-5703",
"우리들 동물병원","제주특별자치도 제주시 한라대학로 81 (노형동)","711-3943",
"제주대학교 야생동물구조센터","제주특별자치도 제주시 산천단남길 42 (아라일동)","064-752-9582",
"현동물병원","제주특별자치도 제주시 한림읍 금악로1길 2",
"고려동물병원","제주특별자치도 제주시 광양1길 4 (이도일동)","0647225918",
"리더스동물병원","제주특별자치도 제주시 노연로 131 (연동)","064-749-7533",
"예서동물병원","제주특별자치도 제주시 수덕로 13, 1층 103호 (노형동)","0647491801",
"제주동물메디컬센터","제주특별자치도 제주시 한림읍 명랑로 16-1",
"교래 말 전문병원","제주특별자치도 제주시 구좌읍 세화경마루길 14-14",
"제일동물병원","제주특별자치도 제주시 한림읍 금악로 25","796-7111",
"희망동물병원","제주특별자치도 제주시 애월읍 봉성로3길 14",
"한국금호동물병원","제주특별자치도 제주시 구좌읍 해맞이해안로 1076-1",
"한서동물병원","제주특별자치도 제주시 아봉로 759 (봉개동)","784-0657",
"서사라동물병원","제주특별자치도 제주시 서사로 148-1 (삼도일동)","702-1275",
"이호동물병원","제주특별자치도 제주시 한림읍 금악북로 257",
"제주피그클리닉","제주특별자치도 제주시 한림읍 한림로 580",
"유성동물병원","제주특별자치도 제주시 한림읍 한림중앙로 212","796-4451",
"태흥동물병원","제주특별자치도 제주시 연북로 681 (이도이동)","722-3440",
"서진동물병원","제주특별자치도 제주시 애월읍 상가목장길 84",
"한수풀동물병원","제주특별자치도 제주시 한림읍 한림로 655","064-796-4451",
"서원동물병원","제주특별자치도 제주시 일주동로 38 (화북이동)",
"웰빙축산병원","제주특별자치도 제주시 애월읍 상귀서길 22","742-9947",
"동물병원 퍼피하우스","제주특별자치도 제주시 용담로17길 12 (용담일동)","721-5703",
"우리들 동물병원","제주특별자치도 제주시 한라대학로 81 (노형동)","711-3943",
"제주대학교 야생동물구조센터","제주특별자치도 제주시 산천단남길 42 (아라일동)","064-752-9582",
"현동물병원","제주특별자치도 제주시 한림읍 금악로1길 2",
"고려동물병원","제주특별자치도 제주시 광양1길 4 (이도일동)","0647225918",
"리더스동물병원","제주특별자치도 제주시 노연로 131 (연동)","064-749-7533",
"예서동물병원","제주특별자치도 제주시 수덕로 13, 1층 103호 (노형동)","0647491801",
"제주동물메디컬센터","제주특별자치도 제주시 한림읍 명랑로 16-1",
"제주양돈농협 동물병원","제주특별자치도 제주시 한림읍 한림남3길 8","0647968661",
"탐라수산동물병원","제주특별자치도 제주시 조천읍 북선로 344","0647848580",
"백록동물병원","제주특별자치도 제주시 우령서로 89, 101호 (외도일동)","0647471375",
"튼튼동물병원","제주특별자치도 제주시 중앙로 351, 1층 (이도이동)","0647577582",
"한밭동물병원","제주특별자치도 제주시 한림읍 한림상로 203",
"마야동물병원","제주특별자치도 제주시 조천읍 남조로 1760","064-753-2007",
"수동물병원","제주특별자치도 제주시 연삼로 453 (이도이동)",
"로얄말전문병원","제주특별자치도 제주시 구좌읍 충렬로 12",
"유성동물병원","제주특별자치도 제주시 한림읍 한림중앙로 212","796-4451",
"태흥동물병원","제주특별자치도 제주시 연북로 681 (이도이동)","722-3440",
"서진동물병원","제주특별자치도 제주시 애월읍 상가목장길 84",
"한수풀동물병원","제주특별자치도 제주시 한림읍 한림로 655","064-796-4451",
"서원동물병원","제주특별자치도 제주시 일주동로 38 (화북이동)",
"웰빙축산병원","제주특별자치도 제주시 애월읍 상귀서길 22","742-9947",
"동물병원 퍼피하우스","제주특별자치도 제주시 용담로17길 12 (용담일동)","721-5703",
"우리들 동물병원","제주특별자치도 제주시 한라대학로 81 (노형동)","711-3943",
"제주대학교 야생동물구조센터","제주특별자치도 제주시 산천단남길 42 (아라일동)","064-752-9582",
"현동물병원","제주특별자치도 제주시 한림읍 금악로1길 2",
"고려동물병원","제주특별자치도 제주시 광양1길 4 (이도일동)","0647225918",
"리더스동물병원","제주특별자치도 제주시 노연로 131 (연동)","064-749-7533",
"예서동물병원","제주특별자치도 제주시 수덕로 13, 1층 103호 (노형동)","0647491801",
"제주동물메디컬센터","제주특별자치도 제주시 한림읍 명랑로 16-1",
"제주양돈농협 동물병원","제주특별자치도 제주시 한림읍 한림남3길 8","0647968661",
"탐라수산동물병원","제주특별자치도 제주시 조천읍 북선로 344","0647848580",
"백록동물병원","제주특별자치도 제주시 우령서로 89, 101호 (외도일동)","0647471375",
"튼튼동물병원","제주특별자치도 제주시 중앙로 351, 1층 (이도이동)","0647577582",
"한밭동물병원","제주특별자치도 제주시 한림읍 한림상로 203",
"마야동물병원","제주특별자치도 제주시 조천읍 남조로 1760","064-753-2007",
"수동물병원","제주특별자치도 제주시 연삼로 453 (이도이동)",
"로얄말전문병원","제주특별자치도 제주시 구좌읍 충렬로 12",
"찬`s 동물병원","제주특별자치도 제주시 신광로 105, 103, 104호 (연동)","746-7410",
