"월성가축병원","경상북도 경주시 건천읍 내서로 1125",
"강북동물병원","서울특별시 성북구 종암로 65 (종암동)","924-4555",
"드림동물병원","서울특별시 성북구 동소문로 74 (동소문동5가)","928-7582",
"길음동물병원","서울특별시 성북구 동소문로 248 (길음동, 삼부상가 102동 6,7호)","913-1874",
"정릉동물병원","서울특별시 성북구 보국문로 4, 2층 (정릉동)","941-7525",
"행복한동물병원","서울특별시 성북구 돌곶이로 91 (장위동)","915-7582",
"미소동물병원","서울특별시 성북구 종암로19길 7 (종암동)","929-1212",
"중앙동물병원","서울특별시 성북구 돌곶이로 56 (석관동)","967-0300",
"24시 북악동물병원","서울특별시 성북구 정릉로 272-9 (정릉동)","941-7900",
"비비펫 동물병원","서울특별시 성북구 화랑로 91 (하월곡동)","912-0018",
"이솝동물병원","서울특별시 성북구 보국문로 70 (정릉동)","943-8376",
"ZOO동물병원","서울특별시 성북구 보국문로 13-1, 2층 (정릉동)","914-5545",
"우리동물병원","서울특별시 성북구 삼양로 84 (길음동)","989-8575",
"VIP 동물의료센터","서울특별시 성북구 동소문로 73, 1층 (동소문동6가, 시티플레이스)","953-0075",
"태양 동물병원","서울특별시 성북구 돌곶이로 31 (석관동)","969-0075",
"쓰담쓰담 동물병원","서울특별시 성북구 종암로 113 (종암동)","927-7585",
"마로동물병원","서울특별시 성북구 동소문로44길 43 (하월곡동, 성북힐스테이트 101동112호)","6014-8275",
"호담동물병원","서울특별시 성북구 동소문로 302 (하월곡동)","915-5301",
"꿈의숲동물병원","서울특별시 성북구 돌곶이로 205 (장위동)","915-5485,010-5296-42",
"도담도담동물병원","서울특별시 성북구 화랑로 76 (하월곡동, 코업스타클래스 1층)","943-7582",
"카카오 N 동물병원","서울특별시 성북구 길음로 33 (길음동, 길음뉴타운 제상가비동 제지2층 25호)","942-4883",
"강북 24시 N 동물의료센터","서울특별시 성북구 삼양로4길 3 (길음동)","984-0075",
"현대동물병원(출장진료전문병원)","경상남도 함양군 함양읍 함양로 1182-1","055-963-4569",
"이수의과동물병원",
"중앙동물병원","경상남도 함양군 수동면 수동길 17",
"고려동물병원","경상남도 함양군 안의면 종로길 5-1",
"진동물병원",
"행복한동물병원","서울특별시 성북구 돌곶이로 91 (장위동)","915-7582",
"미소동물병원","서울특별시 성북구 종암로19길 7 (종암동)","929-1212",
"중앙동물병원","서울특별시 성북구 돌곶이로 56 (석관동)","967-0300",
"24시 북악동물병원","서울특별시 성북구 정릉로 272-9 (정릉동)","941-7900",
"비비펫 동물병원","서울특별시 성북구 화랑로 91 (하월곡동)","912-0018",
"이솝동물병원","서울특별시 성북구 보국문로 70 (정릉동)","943-8376",
"ZOO동물병원","서울특별시 성북구 보국문로 13-1, 2층 (정릉동)","914-5545",
"우리동물병원","서울특별시 성북구 삼양로 84 (길음동)","989-8575",
"VIP 동물의료센터","서울특별시 성북구 동소문로 73, 1층 (동소문동6가, 시티플레이스)","953-0075",
"태양 동물병원","서울특별시 성북구 돌곶이로 31 (석관동)","969-0075",
"쓰담쓰담 동물병원","서울특별시 성북구 종암로 113 (종암동)","927-7585",
"마로동물병원","서울특별시 성북구 동소문로44길 43 (하월곡동, 성북힐스테이트 101동112호)","6014-8275",
"호담동물병원","서울특별시 성북구 동소문로 302 (하월곡동)","915-5301",
"꿈의숲동물병원","서울특별시 성북구 돌곶이로 205 (장위동)","915-5485,010-5296-42",
"도담도담동물병원","서울특별시 성북구 화랑로 76 (하월곡동, 코업스타클래스 1층)","943-7582",
"카카오 N 동물병원","서울특별시 성북구 길음로 33 (길음동, 길음뉴타운 제상가비동 제지2층 25호)","942-4883",
"강북 24시 N 동물의료센터","서울특별시 성북구 삼양로4길 3 (길음동)","984-0075",
"현대동물병원(출장진료전문병원)","경상남도 함양군 함양읍 함양로 1182-1","055-963-4569",
"이수의과동물병원",
"중앙동물병원","경상남도 함양군 수동면 수동길 17",
"고려동물병원","경상남도 함양군 안의면 종로길 5-1",
"진동물병원",
"신성가축병원","경상남도 함양군 함양읍 중앙시장길 17 (신성가축병원)","055-964-0095",
"형제동물병원",
"영산가축병원<산업동물출장진료전문병원>","경상남도 창녕군 영산면 로터리길 38",
"남창가축병원","경상남도 창녕군 창녕읍 창녕대로 54",
"대합가축병원","경상남도 창녕군 대합면 십이리1길 10",
"남지가축병원","경상남도 창녕군 남지읍 동포로 9",
"광진동물병원","경상남도 창녕군 창녕읍 화왕산1로 14","055-532-0636",
"김수의과병원<산업동물출장진료전문병원>","경상남도 창녕군 영산면 영산장마로 745","055-521-0438",
"VIP 동물의료센터","서울특별시 성북구 동소문로 73, 1층 (동소문동6가, 시티플레이스)","953-0075",
"태양 동물병원","서울특별시 성북구 돌곶이로 31 (석관동)","969-0075",
"쓰담쓰담 동물병원","서울특별시 성북구 종암로 113 (종암동)","927-7585",
"마로동물병원","서울특별시 성북구 동소문로44길 43 (하월곡동, 성북힐스테이트 101동112호)","6014-8275",
"호담동물병원","서울특별시 성북구 동소문로 302 (하월곡동)","915-5301",
"꿈의숲동물병원","서울특별시 성북구 돌곶이로 205 (장위동)","915-5485,010-5296-42",
"도담도담동물병원","서울특별시 성북구 화랑로 76 (하월곡동, 코업스타클래스 1층)","943-7582",
"카카오 N 동물병원","서울특별시 성북구 길음로 33 (길음동, 길음뉴타운 제상가비동 제지2층 25호)","942-4883",
"강북 24시 N 동물의료센터","서울특별시 성북구 삼양로4길 3 (길음동)","984-0075",
"현대동물병원(출장진료전문병원)","경상남도 함양군 함양읍 함양로 1182-1","055-963-4569",
"이수의과동물병원",
"중앙동물병원","경상남도 함양군 수동면 수동길 17",
"고려동물병원","경상남도 함양군 안의면 종로길 5-1",
"진동물병원",
"신성가축병원","경상남도 함양군 함양읍 중앙시장길 17 (신성가축병원)","055-964-0095",
"형제동물병원",
"영산가축병원<산업동물출장진료전문병원>","경상남도 창녕군 영산면 로터리길 38",
"남창가축병원","경상남도 창녕군 창녕읍 창녕대로 54",
"대합가축병원","경상남도 창녕군 대합면 십이리1길 10",
"남지가축병원","경상남도 창녕군 남지읍 동포로 9",
"광진동물병원","경상남도 창녕군 창녕읍 화왕산1로 14","055-532-0636",
"김수의과병원<산업동물출장진료전문병원>","경상남도 창녕군 영산면 영산장마로 745","055-521-0438",
"창녕축협동물병원","경상남도 창녕군 창녕읍 갈전길 153","533-8292",
"미래동물병원","경상남도 창녕군 영산면 원다리길 45-2",
"창녕동물병원","경상남도 창녕군 창녕읍 화왕산1로 49",
"대호가축병원","경상남도 창녕군 창녕읍 우포2로 1220-1",
"안덕가축병원","경상북도 청송군 안덕면 안덕로 86","872-0201",
"창원동물 CT MRI 센터","경상남도 창원시 성산구 단정로 10, 3층 302호 (상남동)",
"북부동물병원","경상북도 상주시 낙동면 영남제일로 603",
"덕천동물의료센터","부산광역시 북구 만덕대로 119 (덕천동)","332-8060",
"강북 24시 N 동물의료센터","서울특별시 성북구 삼양로4길 3 (길음동)","984-0075",
"현대동물병원(출장진료전문병원)","경상남도 함양군 함양읍 함양로 1182-1","055-963-4569",
"이수의과동물병원",
"중앙동물병원","경상남도 함양군 수동면 수동길 17",
"고려동물병원","경상남도 함양군 안의면 종로길 5-1",
"진동물병원",
"신성가축병원","경상남도 함양군 함양읍 중앙시장길 17 (신성가축병원)","055-964-0095",
"형제동물병원",
"영산가축병원<산업동물출장진료전문병원>","경상남도 창녕군 영산면 로터리길 38",
"남창가축병원","경상남도 창녕군 창녕읍 창녕대로 54",
"대합가축병원","경상남도 창녕군 대합면 십이리1길 10",
"남지가축병원","경상남도 창녕군 남지읍 동포로 9",
"광진동물병원","경상남도 창녕군 창녕읍 화왕산1로 14","055-532-0636",
"김수의과병원<산업동물출장진료전문병원>","경상남도 창녕군 영산면 영산장마로 745","055-521-0438",
"창녕축협동물병원","경상남도 창녕군 창녕읍 갈전길 153","533-8292",
"미래동물병원","경상남도 창녕군 영산면 원다리길 45-2",
"창녕동물병원","경상남도 창녕군 창녕읍 화왕산1로 49",
"대호가축병원","경상남도 창녕군 창녕읍 우포2로 1220-1",
"안덕가축병원","경상북도 청송군 안덕면 안덕로 86","872-0201",
"창원동물 CT MRI 센터","경상남도 창원시 성산구 단정로 10, 3층 302호 (상남동)",
"북부동물병원","경상북도 상주시 낙동면 영남제일로 603",
"덕천동물의료센터","부산광역시 북구 만덕대로 119 (덕천동)","332-8060",
"구포동물병원","","332-5688",
"백양동물병원","부산광역시 북구 덕천로 280 (만덕동)","332-7588",
"노아동물병원","부산광역시 북구 금곡대로 175, 상가207동 201호 (화명동, 화명2차동원로얄듀크)","343-7588",
"원동물병원","부산광역시 북구 금곡대로 287 (화명동)","333-7584",
"21세기종합동물병원","","365-0075",
"장원동물병원","","342-3739",
"차동물병원","부산광역시 북구 금곡대로 304 (화명동)",
"행복한동물병원","부산광역시 북구 금곡대로 344 (화명동,화명빌딩202호)","363-7593",
"영산가축병원<산업동물출장진료전문병원>","경상남도 창녕군 영산면 로터리길 38",
"남창가축병원","경상남도 창녕군 창녕읍 창녕대로 54",
"대합가축병원","경상남도 창녕군 대합면 십이리1길 10",
"남지가축병원","경상남도 창녕군 남지읍 동포로 9",
"광진동물병원","경상남도 창녕군 창녕읍 화왕산1로 14","055-532-0636",
"김수의과병원<산업동물출장진료전문병원>","경상남도 창녕군 영산면 영산장마로 745","055-521-0438",
"창녕축협동물병원","경상남도 창녕군 창녕읍 갈전길 153","533-8292",
"미래동물병원","경상남도 창녕군 영산면 원다리길 45-2",
"창녕동물병원","경상남도 창녕군 창녕읍 화왕산1로 49",
"대호가축병원","경상남도 창녕군 창녕읍 우포2로 1220-1",
"안덕가축병원","경상북도 청송군 안덕면 안덕로 86","872-0201",
"창원동물 CT MRI 센터","경상남도 창원시 성산구 단정로 10, 3층 302호 (상남동)",
"북부동물병원","경상북도 상주시 낙동면 영남제일로 603",
"덕천동물의료센터","부산광역시 북구 만덕대로 119 (덕천동)","332-8060",
"구포동물병원","","332-5688",
"백양동물병원","부산광역시 북구 덕천로 280 (만덕동)","332-7588",
"노아동물병원","부산광역시 북구 금곡대로 175, 상가207동 201호 (화명동, 화명2차동원로얄듀크)","343-7588",
"원동물병원","부산광역시 북구 금곡대로 287 (화명동)","333-7584",
"21세기종합동물병원","","365-0075",
"장원동물병원","","342-3739",
"차동물병원","부산광역시 북구 금곡대로 304 (화명동)",
"행복한동물병원","부산광역시 북구 금곡대로 344 (화명동,화명빌딩202호)","363-7593",
"화명동물병원","","361-7599",
"만덕24시동물병원","부산광역시 북구 덕천로 227 (만덕동)","0513380075",
"카이저 동물병원","부산광역시 북구 금곡대로 182 (화명동)","051361-7582",
"그랜드 동물병원","부산광역시 북구 학사로 299, 2층 (금곡동)","365-7588",
"하나동물병원","부산광역시 북구 금곡대로 469 (금곡동)","051-337-0975",
"애니힐동물병원","인천광역시 남동구 인하로 608 (구월동)","466-7975",
